id,system_name,system_type,source_system_id,star_mass,star_spectral_type_size,distance_sol_ly,star_radius,star_luminosity
1,Sol,Star,0,1,G2 V,0,,
2,Proxima Centauri,Star,1a,0.11,M5 V,4.242179878,,
3,Alpha Centauri,Multiple,1b,,,4.364921109,,
7,Wolf 359,Star,3,0.09,M5.5 V,7.782390838,,
8,Lalande 21185,Star,4,0.46,M2 V,8.293960585,,
9,Sirius ,Multiple,5,,,8.582706173,,
12,UV/BL Ceti,Multiple,6,,,8.72785657,,
15,Ross 154,Star,7,0.17,M3.5 V,9.672024198,,
16,Ross 248,Star,8,0.12,M5.5 V,10.3094478,,
17,Epsilon Eridani,Star,9,0.85,K2 V,10.48004627,,
18,Lacaille 9352,Star,10,0.53,M1 V,10.6909663,,
19,Ross 128,Star,11,0.16,M4 V,10.93982693,,
20,EZ Aquarii,Multiple,12,,,11.26632124,,
24,61 Cygni,Multiple,13,,,11.40100671,,
27,Procyon,Multiple,14,,,11.43738822,,
30,Gliese 725,Multiple,15,,,11.49138569,,
33,GX/GQ Andromedae,Multiple,16,,,11.65398221,,
36,Epsilon Indi,Multiple,17,,,11.8143949,,
40,DX Cancri,Star,18,0.09,M6 V,11.82596084,,
41,Tau Ceti,Star,19,0.92,G8.5 V,11.9049531,,
42,Gliese 1061,Star,20,0.11,M5 V,11.99073563,,
43,YZ Ceti,Star,21,0.13,M4 V,12.12130221,,
44,Luyten's Star,Star,22,0.26,M3.5 V,12.25106111,,
45,SCR 1845-635,Multiple,23,,,12.56878613,,
48,SO 0253+1652,Star,24,0.08,M6.5 V,12.57314676,,
49,Kapteyn's Star,Star,25,0.39,M2 V,12.75706966,,
50,AX Microscopii,Star,26,0.6,K9 V,12.86931818,,
51,DEN 1048-395,Star,27,0.07,M8.5 V,13.12356657,,
52,Kruger 60,Multiple,28,,,13.14843183,,
55,Ross 614,Multiple,29,,,13.34315169,,
58,Wolf 1061,Star,30,0.26,M3.5 V,13.91586313,,
59,Van Maanen's Star,White Dwarf,31,0.5,DZ7,14.01633004,,
60,Gliese 1,Star,32,0.48,M1.5 V,14.16116707,,
61,Wolf 424,Multiple,33,,,14.31154015,,
64,TZ Arietis,Star,34,0.14,M4 V,14.50889679,,
65,Gliese 687,Star,35,0.39,M3 V,14.7938495,,
66,LHS 292,Star,36,0.08,M6.5 V,14.80526555,,
67,G 208-044,Multiple,37,,,14.8119891,,
70,G 208-045,Star,37,0.1,M6 V,14.8119891,,
73,Ross 780,Star,40,0.27,M3.5 V,15.20772136,,
74,Gliese 1002,Star,41,0.11,M5 V,15.31267606,,
75,LHS 288,Star,42,0.11,M5.5 V,15.55364807,,
76,Gliese 412,Multiple,43,,,15.85841396,,
77,Gliese 412 A,Star,43,0.48,M1 V,15.85841396,,
78,WX Ursae Majoris,Star,43,0.1,M5.5 V,15.85841397,,
79,Gliese 380,Star,44,0.64,K7 V,15.86921617,,
80,Gliese 388,Star,45,0.39,M2.5 V,15.94134898,,
81,Gliese 832,Star,46,0.5,M1.5 V,16.144137,,
82,LP 944-020,Star,47,0.07,M9 V,16.19463754,,
83,DEN 0255-470,Star,48,0.05,L7.5 V,16.19705021,,
84,Omicron 2 Eridani,Multiple,49,,,16.2551707,,
88,EV Lacertae,Star,50,0.28,M3.5 V,16.45527471,,
89,Gliese 682,Star,51,0.2,M4 V,16.46524307,,
90,70 Ophiuchi,Multiple,52,,,16.6442131,,
93,Altair,Star,53,1.71,A7 IV-V,16.69191402,,
94,EI Cancri,Multiple,54,,,17.0585774,,
97,G 099-049,Star,55,0.19,M3.5 V,17.09702784,,
98,LHS 1723,Star,56,0.15,M4 V,17.35632184,,
99,2MASS 0939-244,Star,57,0.03,T8 V,17.41377469,,
100,Gliese 445,Star,58,0.24,M3.5 V,17.41749439,,
101,Wolf 498,Star,59,0.53,M1 V,17.65699437,,
102,Stein 2051,Multiple,60,,,18.06780412,,
105,Gliese 251,Star,61,0.34,M3 V,18.31227893,,
106,2MASS 1835+325,Star,62,0.07,M8.5 V,18.47932011,,
107,Wolf 1453,Star,63,0.57,M1 V,18.53287118,,
108,LP 816-060,Star,64,0.19,M3.5 V,18.63451979,,
109,2MASS 0415-093,Star,65,0.03,T8 V,18.70827119,,
110,Sigma Draconis,Star,66,0.89,G9 V,18.76747799,,
111,Gliese 229,Multiple,67,,,18.76963802,,
114,Ross 47,Star,68,0.18,M4 V,19.0180758,,
115,Gliese 693,Star,69,0.26,M3 V,19.06253653,,
116,Wolf 1055,Multiple,70,,,19.07814694,,
119,Gliese 570,Multiple,71,,,19.11616458,,
124,Gliese 754,Star,72,0.16,M4 V,19.28001419,,
125,Gliese 588,Star,73,0.46,M2.5 V,19.35437931,,
126,Gliese 1005,Multiple,74,,,19.37392337,,
129,Eta Cassiopei,Multiple,75,,,19.38774297,,
132,36 Ophiuchi,Multiple,76,,,19.40042826,,
136,Gliese 908,Star,77,0.51,M1 V,19.41197476,,
