id,star_system_id,star_name,star_type,source_system_id,galactic_x,galactic_y,galactic_z,position,star_mass,star_spectral_type_size,distance_sol_ly,star_radius,star_luminosity
1,1,Sol,Star,0,0,0,0,0101000080000000000000000000000000000000000000000000000000,1,G2 V,0,,
2,2,Proxima Centauri,Star,1a,2.9420018,-3.052927121,-0.142658768,0101000080602F5E3D38890740A921EE0D656C08C07019867BA442C2BF,0.11,M5 V,4.242179878,,
6,7,Wolf 359,Star,3,-1.897978218,-3.901054932,6.461041422,010100008026496D681E5EFEBF4EB7C6495C350FC0875D163E1BD81940,0.09,M5.5 V,7.782390838,,
7,8,Lalande 21185,Star,4,-3.434712688,-0.307634751,7.543069123,010100008015EE50A54A7A0BC05D1EAAAA49B0D3BF7602EB4F1A2C1E40,0.46,M2 V,8.293960585,,
12,15,Ross 154,Star,7,9.331901544,1.8659442,-1.726823068,01010000809EF1C9FFEEA92240FA92324EE8DAFD3F399DB03911A1FBBF,0.17,M3.5 V,9.672024198,,
13,16,Ross 248,Star,8,-3.371248609,9.26788102,-3.004293282,010100008053B9D23051F80AC0FE3C78B32789224092428EEACA0808C0,0.12,M5.5 V,10.3094478,,
14,17,Epsilon Eridani,Star,9,-6.73934796,-1.912708996,-7.794491849,0101000080DC41B2A117F51AC0245C89BF749AFEBF049371458F2D1FC0,0.85,K2 V,10.48004627,,
15,18,Lacaille 9352,Star,10,4.338491684,0.387269705,-9.763415007,0101000080EBFD62909D5A114068386DDF06C9D83F65AEF054DE8623C0,0.53,M1 V,10.6909663,,
16,19,Ross 128,Star,11,0.014239928,-5.542649534,9.43178915,0101000080598B75C8D2298D3FE9E0C651AC2B16C00809AC7713DD2240,0.16,M4 V,10.93982693,,
31,40,DX Cancri,Star,18,-9.545708741,-2.92091212,6.340431123,01010000800179D722671723C0C71E6F2C075E07C05E4DEFF9995C1940,0.09,M6 V,11.82596084,,
